name;categories;subcategories;calories;protein;fat;carbs;calcium;iron;magnesium;allergens
Pork, round mock, raw;Fleisch und Innereien;Schwein;127.0;20.6;4.9;0.0;3.7;0.7;19.0;
"Pork, shoulder, roast ""medium"", roasted in the oven";Fleisch und Innereien;Schwein;202.0;29.6;9.3;0.0;8.5;1.5;26.0;
"Pork, shoulder, roast ""well done"", roasted in the oven";Fleisch und Innereien;Schwein;221.0;32.5;10.2;0.0;9.3;1.6;28.0;
Pork, shoulder, roast, raw;Fleisch und Innereien;Schwein;181.0;24.6;9.2;0.0;8.1;1.3;23.0;
Pork, starter, raw;Fleisch und Innereien;Schwein;135.0;20.9;5.7;0.0;4.7;0.8;19.0;
Pork , raw;Fleisch und Innereien;Schwein;160.0;21.4;8.3;0.0;6.0;1.0;21.0;
Lard;Fette und Öle;Fette;891.0;0.0;99.0;0.0;1.0;0.0;1.0;
Pork sausage;Fleisch- und Wurstwaren;Rohwurstware;236.0;16.2;18.8;0.5;10.0;1.0;18.0;
Pork sausage, roasted;Fleisch- und Wurstwaren;Rohwurstware;283.0;19.8;22.3;0.6;13.0;1.3;22.0;
Pork sausage;Fleisch- und Wurstwaren;Brühwurstware;268.0;16.2;22.4;0.5;10.0;1.0;17.0;
Hake, raw;Fisch;Meeresfische;71.0;17.0;0.3;0.0;25.0;0.7;25.0;
Saithe, raw;Fisch;Meeresfische;80.0;19.3;0.3;0.0;8.0;0.2;14.0;
Sole, raw;Fisch;Meeresfische;85.0;18.7;1.1;0.0;29.0;0.6;25.0;
Celery piccata, prepared;Gerichte;Sonstige salzige;133.0;5.5;8.2;7.1;98.0;0.9;14.0;celery
Celery slices, breaded, prepared;Gemüse;Gemüse gekocht (inkl. Konserven);136.0;4.9;5.7;14.0;49.0;0.9;14.0;celery
Semmeli;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;245.0;9.2;0.9;48.5;10.0;1.0;22.0;
Mustard;Verschiedenes;Saucen;124.0;7.1;7.7;3.8;110.0;1.7;95.0;mustard
Sesame oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;sesame
Sesame seeds unpeeled;Nüsse, Samen und Ölfrüchte;;619.0;23.1;53.8;4.0;930.0;7.7;330.0;sesame
Sesame seeds, hulled;Nüsse, Samen und Ölfrüchte;;660.0;26.8;57.4;4.6;37.0;5.8;350.0;sesame
Sherry, 18.5 vol%;Alkoholhaltige Getränke;Wein;118.0;0.1;0.0;3.6;9.0;0.5;8.0;
Silver onion, pickled in vinegar;Gemüse;Gemüse gekocht (inkl. Konserven);28.0;0.9;0.2;4.9;22.0;0.2;0.0;
Syrup undiluted;Alkoholfreie Getränke;Sirup;371.0;0.1;0.2;91.8;3.9;0.5;2.6;
Syrup prepared;Alkoholfreie Getränke;Sirup,Alkoholfreie Getränke;55.0;0.0;0.0;13.5;6.2;0.1;1.2;
Soybean, cooked;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;157.0;15.0;7.3;3.3;72.0;2.2;75.0;soy
Soybean, dried;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Hülsenfrüchte;399.0;38.2;18.3;8.7;200.0;6.6;220.0;soy
Soy drink, nature;Milch und Milchprodukte;Milchersatzprodukte;40.0;3.9;2.2;0.8;13.0;0.4;17.0;milk
Soya flour, defatted;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;296.0;51.5;1.2;7.5;240.0;9.2;300.0;soy
Soya flour, full fat;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;398.0;40.8;20.6;3.1;200.0;12.0;250.0;soy
Soya oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;soy
Soy sauce;Verschiedenes;Saucen;56.0;8.1;0.6;4.1;33.0;1.5;74.0;soy
Bean sprouts, raw;Gemüse;Sprossen und Keimlinge;55.0;5.5;1.0;4.7;32.0;0.9;19.0;
Sunflower seeds;Nüsse, Samen und Ölfrüchte;;621.0;25.1;54.5;3.6;86.0;5.0;330.0;
Sunflower oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.9;0.1;0.0;
Sunflower oil HO , refined;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Sorbet, Fruit;Süssigkeiten;Glacen auf Wasserbasis;137.0;0.2;0.0;32.1;12.0;0.2;4.0;
Asparagus, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);26.0;2.1;0.2;3.1;21.0;0.7;16.0;
Asparagus, raw;Gemüse;Gemüse frisch;27.0;2.2;0.2;3.3;22.0;0.9;18.0;
Spinach, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);28.0;3.4;0.5;1.0;130.0;2.8;69.0;
Spinach, raw;Gemüse;Gemüse frisch;23.0;2.7;0.4;0.8;100.0;2.7;58.0;
Spirits 40 vol%;Alkoholhaltige Getränke;Spirituosen;222.0;0.0;0.0;0.0;0.0;0.0;0.0;
Pomeranian;Süssigkeiten;Sonstige süsse Backwaren;499.0;5.8;25.6;60.3;14.0;1.0;16.0;
St Paulin;Milch und Milchprodukte;Hartkäse;294.0;21.8;23.0;0.0;700.0;0.4;35.0;milk
Gooseberry, raw;Früchte;Früchte frisch;39.0;0.8;0.2;7.1;29.0;0.6;15.0;
Celery stalks, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);15.0;0.9;0.1;1.5;53.0;0.4;13.0;celery
Celery, raw;Gemüse;Gemüse frisch;15.0;0.9;0.1;1.5;52.0;0.5;14.0;celery
Porcini mushroom, steamed;Gemüse;Pilze;46.0;6.1;0.5;0.6;5.0;1.0;12.0;
Boletus, raw;Gemüse;Pilze;39.0;5.4;0.4;0.5;4.2;1.0;12.0;
Surimi;Fisch;Fischerzeugnisse;125.0;8.3;4.9;11.8;19.0;0.4;12.0;
Sweet potato, steamed;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;81.0;1.6;0.1;17.1;40.0;0.5;25.0;
Sweet potato, raw;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Kartoffeln;81.0;1.6;0.1;17.1;41.0;0.6;26.0;
Tea, unsweetened;Alkoholfreie Getränke;Tee;0.0;0.0;0.0;0.0;0.0;0.0;1.0;
Pasta with egg, cooked in salted water;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;132.0;5.0;1.1;25.0;8.3;0.8;13.0;egg
Pasta with egg, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;365.0;13.3;2.8;69.9;23.0;3.0;42.0;egg
Pasta without egg, cooked in salted water;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;158.0;5.9;0.6;31.2;9.8;0.5;22.0;
Pasta without egg, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;353.0;12.6;1.2;70.5;22.0;1.5;56.0;
Pasta without egg, wholemeal, cooked in salt water;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;152.0;5.9;1.2;26.8;15.0;1.4;48.0;
Pasta without egg, wholemeal, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;338.0;12.6;2.5;60.6;34.0;3.9;120.0;
Semi-skimmed milk, pasteurised;Milch und Milchprodukte;Milch;56.0;3.1;2.8;4.7;120.0;0.0;10.0;milk
Semi-skimmed milk, UHT;Milch und Milchprodukte;Milch;57.0;3.3;2.8;4.6;120.0;0.0;10.0;milk
Terrine de Campagne;Fleisch- und Wurstwaren;Kochwurstware;298.0;13.6;26.5;1.0;17.0;4.2;14.0;
Ticino bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;323.0;10.3;5.2;57.1;13.0;1.3;29.0;
Tête de Moine;Milch und Milchprodukte;Hartkäse;417.0;24.2;35.5;0.0;700.0;0.1;27.0;milk
Tuna, raw;Fisch;Meeresfische;149.0;23.4;6.2;0.0;28.0;1.1;34.0;fish
Thyme, raw;Gemüse;Kräuter;52.0;1.5;1.2;7.3;310.0;20.0;36.0;
Tilsiter, pasteurised, full-fat;Milch und Milchprodukte;Hartkäse;351.0;24.1;28.0;0.0;840.0;0.1;29.0;milk
Tilsiter, raw milk, full-fat;Milch und Milchprodukte;Hartkäse;376.0;25.6;30.2;0.0;900.0;0.3;24.0;milk
Toast, wholemeal;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;271.0;9.3;4.9;43.7;21.0;3.4;87.0;
Toast,dark or multigrain;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;272.0;9.1;4.7;45.6;17.0;2.4;59.0;
Tofu, firm, nature;Fleischersatzprodukte;;148.0;14.7;8.5;2.9;100.0;2.4;100.0;soy
Tofu, smoked;Fleischersatzprodukte;;164.0;16.4;9.5;2.9;62.0;2.0;140.0;soy
Tofu, silky , nature;Fleischersatzprodukte;;53.0;5.0;2.9;1.5;21.0;0.6;64.0;soy
Tomato, stewed;Gemüse;Gemüse gekocht (inkl. Konserven);26.0;1.0;0.4;3.9;11.0;0.2;6.9;
Tomato, peeled (canned);Gemüse;Gemüse gekocht (inkl. Konserven);20.0;0.9;0.2;3.0;16.0;0.7;12.0;
Tomato, dried;Gemüse;Gemüse getrocknet;210.0;11.3;0.5;29.2;140.0;6.5;180.0;
Tomato, raw;Gemüse;Gemüse frisch;21.0;0.8;0.3;3.2;8.5;0.2;6.3;
Tomato paste;Gemüse;Gemüse gekocht (inkl. Konserven);77.0;4.5;0.2;12.9;48.0;1.6;48.0;
Tomato juice;Alkoholfreie Getränke;Frucht- und Gemüsesäfte,Gemüse;16.0;0.8;0.1;3.0;14.0;0.5;13.0;
Tomato sauce;Verschiedenes;Saucen;69.0;1.8;2.1;9.7;23.0;1.4;17.0;
Tomme;Milch und Milchprodukte;Weichkäse;284.0;20.3;22.5;0.0;290.0;0.1;18.0;milk
Jerusalem artichoke, cooked;Gemüse;Gemüse gekocht (inkl. Konserven);52.0;2.3;0.4;3.8;28.0;0.5;10.0;
Jerusalem artichoke, raw;Gemüse;Gemüse frisch;54.0;2.4;0.4;4.0;28.0;0.6;16.0;
Grape, white, raw;Früchte;Früchte frisch;69.0;0.7;0.3;15.2;12.0;0.4;7.6;
Grape seed oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;
Grape juice;Früchte;Fruchtsäfte,Alkoholfreie Getränke;71.0;0.3;0.1;17.3;8.8;0.5;8.9;
Dextrose;Süssigkeiten;Zucker und Süssstoffe;399.0;0.0;0.0;99.8;1.0;0.3;0.0;
Drinking water;Alkoholfreie Getränke;Trinkwasser;0.0;0.0;0.0;0.0;7.0;0.0;1.0;
Dried meat;Fleisch- und Wurstwaren;Rohwurstware;190.0;39.3;3.5;0.4;0.0;4.0;37.0;
Turkey, breast, escalope or cutlet, roasted;Fleisch und Innereien;Geflügel;139.0;31.8;1.3;0.0;11.0;0.9;35.0;
Turkey, breast, escalope or cutlet, raw;Fleisch und Innereien;Geflügel;108.0;24.0;1.3;0.0;7.9;0.7;32.0;
Vacherin Mont d'Or;Milch und Milchprodukte;Weichkäse;279.0;17.2;23.2;0.0;430.0;0.1;20.0;milk
Vanilla cream, homemade, cooked;Süssigkeiten;Cremen und Pudding;109.0;4.3;4.6;12.7;100.0;0.3;9.8;
Vegetarian minced meat, from mycoprotein, raw;Fleischersatzprodukte;;92.0;13.4;2.3;1.6;160.0;0.3;38.0;
Vinaigrette;Fette und Öle;Salatsaucen;255.0;4.7;25.1;2.3;24.0;0.7;9.0;
Wholemeal rice cake;Brote, Flocken und Frühstückscerealien;Knäckebrote, Zwieback, Crackers und Waffeln;390.0;7.7;2.8;81.5;11.0;1.5;130.0;
Whole milk, pasteurised;Milch und Milchprodukte;Milch;68.0;3.2;4.0;4.7;120.0;0.0;10.0;milk
Whole milk, UHT;Milch und Milchprodukte;Milch;68.0;3.2;4.1;4.6;120.0;0.0;10.0;milk
Whole milk powder;Milch und Milchprodukte;Milch;480.0;24.7;26.2;35.1;1060.0;0.7;88.0;milk
Whole cream, pasteurised;Fette und Öle;Rahm,Milch und Milchprodukte;334.0;2.0;34.8;3.1;71.0;0.1;6.2;
Full cream, UHT;Fette und Öle;Rahm,Milch und Milchprodukte;335.0;2.0;34.9;3.1;71.0;0.0;6.3;
Shoulder of ham;Fleisch- und Wurstwaren;Kochwurstware;106.0;18.6;3.3;0.4;15.0;0.8;21.0;
Valais rye bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;227.0;7.6;1.0;42.6;20.0;2.1;53.0;gluten
Wasabi paste;Verschiedenes;Saucen;308.0;2.9;10.6;49.6;0.0;0.0;0.0;
Water ice;Süssigkeiten;Glacen auf Wasserbasis;88.0;0.0;0.0;22.0;0.0;0.0;0.0;
Watermelon, raw;Früchte;Früchte frisch;37.0;0.7;0.0;8.3;6.0;0.2;11.0;
Soft caramels, sweets;Süssigkeiten;Bonbons, Frucht- und Kaugummi;448.0;2.1;17.2;71.1;95.0;1.5;25.0;
Soft cheese;Milch und Milchprodukte;Weichkäse;325.0;19.4;27.4;0.0;440.0;0.2;20.0;milk
Soft cheese, double cream;Milch und Milchprodukte;Weichkäse;376.0;9.7;37.5;0.0;270.0;0.3;15.0;milk
Soft cheese, cream;Milch und Milchprodukte;Weichkäse;347.0;17.4;30.9;0.0;420.0;0.2;18.0;milk
Soft cheese, full-fat;Milch und Milchprodukte;Weichkäse;296.0;20.6;23.7;0.0;360.0;0.1;19.0;milk
Wine red, 13.5 vol%;Alkoholhaltige Getränke;Wein;76.0;0.0;0.0;0.2;0.0;0.0;0.0;
Wine white, 12.5 vol%;Alkoholhaltige Getränke;Wein;71.0;0.2;0.0;0.1;10.0;0.6;10.0;
Wine white, spritzed, sour;Alkoholhaltige Getränke;Wein;36.0;0.1;0.0;0.1;8.5;0.3;5.5;
Wine white, sparkling, sweet;Alkoholhaltige Getränke;Wein;55.0;0.1;0.0;4.8;7.5;0.4;11.0;
White bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;242.0;8.5;0.8;48.9;8.3;0.6;15.0;
White cabbage, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);28.0;1.3;0.2;4.0;53.0;0.2;11.0;
White cabbage, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);30.0;1.4;0.2;4.2;58.0;0.3;10.0;
White cabbage, raw;Gemüse;Gemüse frisch;30.0;1.4;0.2;4.2;56.0;0.3;12.0;
Weisswurst;Fleisch- und Wurstwaren;Brühwurstware;220.0;11.8;18.9;0.6;21.0;0.7;10.0;
Wheat , whole grain;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Sonstige Getreideprodukte;327.0;11.4;1.8;59.6;33.0;3.2;97.0;gluten
Wheat flakes, wholemeal;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;335.0;13.5;1.8;59.6;33.0;3.2;97.0;gluten
Wheat germ;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime,Speziallebensmittel;375.0;29.2;9.5;35.1;54.0;6.9;250.0;gluten
Wheat germ oil;Fette und Öle;Öle;810.0;0.0;90.0;0.0;0.0;0.0;0.0;gluten
Wheat bran;Brote, Flocken und Frühstückscerealien;Flocken, Kleie und Keime;264.0;15.2;4.7;17.7;67.0;16.0;480.0;gluten
Wheat flour , type 550;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;344.0;12.0;1.3;69.5;11.0;1.5;34.0;gluten
Wheat flour, semi-white, type 720;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;340.0;13.0;1.5;66.2;17.0;2.4;53.0;gluten
Wheat flour, Ruch, type 1100;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;339.0;13.5;1.7;64.6;24.0;2.2;54.0;gluten
Wheat flour, wholemeal, type 1700;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;338.0;13.5;2.0;61.0;26.0;5.0;130.0;gluten
Wheat flour, white, type 400;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke;346.0;11.5;1.1;71.0;5.0;0.6;14.0;gluten
Wheat toto, cooked;Gerichte;Sonstige salzige;163.0;5.0;3.0;26.2;22.0;1.5;44.0;gluten
Wheat starch;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Mehle und Stärke,Verschiedenes;348.0;0.4;0.1;85.8;0.0;0.0;4.0;gluten
Wholemeal wheat bread;Brote, Flocken und Frühstückscerealien;Brote und Brotwaren;213.0;8.6;1.3;38.3;20.0;3.1;82.0;gluten
Vermouth, 15 vol%;Alkoholhaltige Getränke;Wein;139.0;0.1;0.0;13.5;8.0;0.5;5.4;
Viennese sausage;Fleisch- und Wurstwaren;Brühwurstware;242.0;13.9;20.4;0.6;7.9;0.8;13.0;
Vienna sausage, cooked;Fleisch- und Wurstwaren;Brühwurstware;220.0;13.0;18.4;0.6;6.5;0.7;13.0;
Game meat , cooked;Fleisch und Innereien;Wild;157.0;29.0;4.6;0.0;20.0;3.4;29.0;
Game meat , raw;Fleisch und Innereien;Wild;115.0;21.1;3.4;0.0;15.0;2.5;21.0;
Wild boar , raw;Fleisch und Innereien;Wild;108.0;19.5;3.4;0.0;10.0;1.8;22.0;
Savoy cabbage, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);30.0;2.7;0.3;2.8;61.0;0.4;11.0;
Savoy cabbage, raw;Gemüse;Gemüse frisch;31.0;2.8;0.3;2.9;64.0;0.6;12.0;
Root and tuber vegetables , steamed;Gemüse;Gemüse gekocht (inkl. Konserven);38.0;1.1;0.3;6.3;35.0;0.3;11.0;
Root and tuber vegetables , steamed;Gemüse;Gemüse gekocht (inkl. Konserven);33.0;0.9;0.3;5.4;32.0;0.3;9.6;
Root and tuber vegetables , cooked;Gemüse;Gemüse gekocht (inkl. Konserven);34.0;1.0;0.3;5.6;33.0;0.3;7.5;
Root and tuber vegetables , raw;Gemüse;Gemüse frisch;36.0;1.0;0.3;6.0;33.0;0.3;12.0;
Goat , raw;Fleisch und Innereien;Sonstige Tierarten;149.0;19.5;7.9;0.0;10.0;2.0;20.0;
Goat's milk;Milch und Milchprodukte;Milch;57.0;2.8;3.2;4.2;120.0;0.0;10.0;milk
Cinnamon;Verschiedenes;Salz, Gewürze und Aromen;317.0;3.9;3.2;56.0;1230.0;38.0;56.0;
Cinnamon Star;Süssigkeiten;Guetzli;505.0;14.2;25.9;50.9;150.0;2.2;120.0;
Candied lemon peel;Süssigkeiten;Sonstige Süssigkeiten;289.0;0.4;0.4;70.0;40.0;0.3;5.0;
Lemon, raw;Früchte;Früchte frisch;23.0;0.8;0.5;2.9;25.0;0.5;16.0;
Lemon juice;Früchte;Fruchtsäfte,Alkoholfreie Getränke;28.0;0.4;0.2;2.5;6.0;0.1;6.0;
Citrus fruits , raw;Früchte;Früchte frisch;41.0;0.8;0.3;8.0;32.0;0.2;12.0;
Courgettes, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);20.0;1.9;0.2;2.2;21.0;0.7;24.0;
Courgettes, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);23.0;2.2;0.2;2.4;24.0;0.9;25.0;
Courgettes, raw;Gemüse;Gemüse frisch;19.0;1.8;0.2;2.0;19.0;0.8;23.0;
Sugar, brown;Süssigkeiten;Zucker und Süssstoffe;390.0;0.0;0.0;97.6;85.0;1.9;22.0;
Sugar, white;Süssigkeiten;Zucker und Süssstoffe;400.0;0.0;0.0;100.0;1.0;0.1;0.0;
Sweet corn (canned);Gemüse;Gemüse gekocht (inkl. Konserven);100.0;3.0;1.2;18.2;4.0;0.6;22.0;
Sweet corn (canned), reheated (without adding salt);Gemüse;Gemüse gekocht (inkl. Konserven);103.0;3.1;1.2;18.6;4.0;0.5;21.0;
Sugar melon, raw;Früchte;Früchte frisch;62.0;1.1;0.1;14.8;11.0;0.2;16.0;
Tongue , raw;Fleisch und Innereien;Kalb,Fleisch und Innereien;188.0;16.6;12.3;2.8;9.5;2.9;18.0;
Plum, stewed, drained;Früchte;Früchte gekocht (inkl. Konserven);43.0;0.7;0.1;8.7;15.0;0.4;7.9;
Plum, raw;Früchte;Früchte frisch;43.0;0.6;0.1;8.8;13.0;0.4;8.0;
Rusk;Brote, Flocken und Frühstückscerealien;Knäckebrote, Zwieback, Crackers und Waffeln;421.0;11.6;7.8;74.6;39.0;1.4;33.0;
Rusk, wholemeal;Brote, Flocken und Frühstückscerealien;Knäckebrote, Zwieback, Crackers und Waffeln;411.0;17.5;9.0;61.2;99.0;3.6;98.0;
Onion, steamed;Gemüse;Gemüse gekocht (inkl. Konserven);43.0;1.5;0.2;7.8;33.0;0.3;9.3;
Onion, roasted;Gemüse;Gemüse gekocht (inkl. Konserven);92.0;3.1;0.5;16.7;68.0;0.6;22.0;
Onion, raw;Gemüse;Gemüse frisch;39.0;1.3;0.2;7.0;28.0;0.3;9.4;
Ajowan;Gewürze;;;;;;;;;
Anis;Gewürze;;;;;;;;;
Annatto;Gewürze;;;;;;;;;soy
Asant;Gewürze;;;;;;;;;
Wild garlic;Gewürze;;;;;;;;;
Bärwurz;Gewürze;;;;;;;;;
Basil;Gewürze;;;;;;;;;
Mugwort;Gewürze;;;;;;;;;
Berbere;Gewürze;;;;;;;;;
Mountain cumin;Gewürze;;;;;;;;;
Bertram;Gewürze;;;;;;;;;
Fenugreek;Gewürze;;;;;;;;;
Savory;Gewürze;;;;;;;;;
Borage;Gewürze;;;;;;;;;
Bread clover;Gewürze;;;;;;;;;
Watercress;Gewürze;;;;;;;;;
Cardamom;Gewürze;;;;;;;;;
Cayenne pepper;Gewürze;;;;;;;;;
Chilli;Gewürze;;;;;;;;;
Cilantro;Gewürze;;;;;;;;;
Cumin;Gewürze;;;;;;;;;
Curcuma;Gewürze;;;;;;;;;
Curry leaves;Gewürze;;;;;;;;;
Curry powder;Gewürze;;;;;;;;;
Dill;Gewürze;;;;;;;;;
Dost;Gewürze;;;;;;;;;
Mountain rue;Gewürze;;;;;;;;;
Pickling spices;Gewürze;;;;;;;;;
Angelica;Gewürze;;;;;;;;;
Epazote;Gewürze;;;;;;;;;
Vinegar tree;Gewürze;;;;;;;;;
Estagon;Gewürze;;;;;;;;;
Safflower;Gewürze;;;;;;;;;
Stonecrop;Gewürze;;;;;;;;;
Gagel;Gewürze;;;;;;;;;
Galangal;Gewürze;;;;;;;;;
Daisies;Gewürze;;;;;;;;;
Garam Masala;Gewürze;;;;;;;;;
Turmeric;Gewürze;;;;;;;;;
Clove;Gewürze;;;;;;;;;
Gochujang;Gewürze;;;;;;;;;
Gomashia;Gewürze;;;;;;;;;
Harissa;Gewürze;;;;;;;;;
Herbes Fines;Gewürze;;;;;;;;;
Honey;Gewürze;;;;;;;;;
Coltsfoot;Gewürze;;;;;;;;;
Ginger;Gewürze;;;;;;;;;
Kafernlimette;Gewürze;;;;;;;;;
Cocoa powder;Gewürze;;;;;;;;;
Kalmus;Gewürze;;;;;;;;;
Capers;Gewürze;;;;;;;;;
Nasturtium;Gewürze;;;;;;;;;
Green cardamom;Gewürze;;;;;;;;;
Black cardamom;Gewürze;;;;;;;;;
Chervil;Gewürze;;;;;;;;;
Kemirin nut;Gewürze;;;;;;;;;
Garlic powder;Gewürze;;;;;;;;;
Coriander;Gewürze;;;;;;;;;
Horseradish;Gewürze;;;;;;;;;
Cress;Gewürze;;;;;;;;;
Large mullein;Gewürze;;;;;;;;;
Cumin;Gewürze;;;;;;;;;
Cubeb pepper;Gewürze;;;;;;;;;
Caraway;Gewürze;;;;;;;;;
Pumpkin seed oil;Gewürze;;;;;;;;;
Camp pepper;Gewürze;;;;;;;;;
Liquorice;Gewürze;;;;;;;;;
Lavender;Gewürze;;;;;;;;;
Lovage;Gewürze;;;;;;;;;
Lime juice;Gewürze;;;;;;;;;
Laurel;Gewürze;;;;;;;;;
Spoonwort;Gewürze;;;;;;;;;
Nutmeg;Gewürze;;;;;;;;;
Almond;Gewürze;;;;;;;;;shellFruit
Marjoram;Gewürze;;;;;;;;;
Report;Gewürze;;;;;;;;;
Melissa;Gewürze;;;;;;;;;
Mint;Gewürze;;;;;;;;;
Mitsuba;Gewürze;;;;;;;;;
Poppy seed;Gewürze;;;;;;;;;
Myrrh chervil;Gewürze;;;;;;;;;
Carnation;Gewürze;;;;;;;;;
Clove pepper;Gewürze;;;;;;;;;
Oil pumpkin;Gewürze;;;;;;;;;
Orange peel;Gewürze;;;;;;;;;
Oregano;Gewürze;;;;;;;;;
Pandanus;Gewürze;;;;;;;;;
Grains of Paradise;Gewürze;;;;;;;;;
Paprika powder;Gewürze;;;;;;;;;
Parsnips;Gewürze;;;;;;;;;
Pepperoni;Gewürze;;;;;;;;;
Perilla;Gewürze;;;;;;;;;
Parsley;Gewürze;;;;;;;;;
Pepper white;Gewürze;;;;;;;;;
Pepper;Gewürze;;;;;;;;;
Pepper green;Gewürze;;;;;;;;;
Peppermint;Gewürze;;;;;;;;;
Allspice;Gewürze;;;;;;;;;
Pimpinelle;Gewürze;;;;;;;;;
Purslane;Gewürze;;;;;;;;;
Quendel;Gewürze;;;;;;;;;
Ras el-Hanout;Gewürze;;;;;;;;;
Rhubarb;Gewürze;;;;;;;;;
Rosemary;Gewürze;;;;;;;;;
Rouille;Gewürze;;;;;;;;;
Saffron;Gewürze;;;;;;;;;
Sage;Gewürze;;;;;;;;;
Sambal;Gewürze;;;;;;;;;
Sassafras;Gewürze;;;;;;;;;
Sorrel;Gewürze;;;;;;;;;
Slaw;Gewürze;;;;;;;;;
Shallot;Gewürze;;;;;;;;;
Yarrow;Gewürze;;;;;;;;;
Chive garlic;Gewürze;;;;;;;;;
Chives;Gewürze;;;;;;;;;
Black cumin;Gewürze;;;;;;;;;
Selerie sheets;Gewürze;;;;;;;;;
Celery salt;Gewürze;;;;;;;;;celery
Mustard seeds;Gewürze;;;;;;;;;mustard
Soumbala;Gewürze;;;;;;;;;
Ribwort;Gewürze;;;;;;;;;
Star anise;Gewürze;;;;;;;;;
Stevia;Gewürze;;;;;;;;;
Sumac;Gewürze;;;;;;;;;
Sweet dole;Gewürze;;;;;;;;;
Szechaun pepper;Gewürze;;;;;;;;;
Tamarind;Gewürze;;;;;;;;;
Tanduri Masala;Gewürze;;;;;;;;;
Tasmanian Mountain Pepper;Gewürze;;;;;;;;;
Tonka beans;Gewürze;;;;;;;;;
Tripmandam;Gewürze;;;;;;;;;
Truffle;Gewürze;;;;;;;;;
Chubritza;Gewürze;;;;;;;;;
Vanilla;Gewürze;;;;;;;;;
Juniper;Gewürze;;;;;;;;;
Woodruff;Gewürze;;;;;;;;;
Wood willowherb;Gewürze;;;;;;;;;
Water pepper;Gewürze;;;;;;;;;
Vine leaves;Gewürze;;;;;;;;;
Rue;Gewürze;;;;;;;;;
Ysob;Gewürze;;;;;;;;;
Chicory;Gewürze;;;;;;;;;
Lemon grass;Gewürze;;;;;;;;;
Titron balm;Gewürze;;;;;;;;;
Lemon peel;Gewürze;;;;;;;;;
Lemon thyme;Gewürze;;;;;;;;;
Citrus root;Gewürze;;;;;;;;;
Noodles, dry;Getreideprodukte, Hülsenfrüchte und Kartoffeln;Teigwaren;353.0;12.6;1.2;70.5;22.0;1.5;56.0;
Unknown;Unbekannt;;;;;;;;;
Water;Flüssigkeit;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
